13,1,"Canidae Pet Foods",,
15,3,"No",,
18,4,"Four-Five",,
20,2,"HEXBUG Mouse Cat Toy",,
22,1,"IAMS",,
24,4,"Four-Five",,
17,2,"46 Inch Mega Kit Cat Claw Perch",,
15,3,"No",,
14,4,"Four-Five",,
22,2,"46 Inch Mega Kit Cat Claw Perch",,
16,3,"Yes",,
20,1,"IAMS",,
17,1,"Friskies",,
14,2,"Catit Design Senses Play Circuit",,
17,3,"Yes",,
18,4,"Four-Five",,
23,4,"Four-Five",,
13,3,"No",,
19,2,"HEXBUG Mouse Cat Toy",,
25,1,"Others",,
16,1,"Canidae Pet Foods",,
17,3,"No",,
13,4,"Four-Five",,
25,2,"HEXBUG Mouse Cat Toy",,
23,1,"IAMS",,
25,4,"Four-Five",,
15,2,"46 Inch Mega Kit Cat Claw Perch",,
19,3,"No",,
16,4,"Four-Five",,
25,2,"46 Inch Mega Kit Cat Claw Perch",,
14,3,"Yes",,
21,1,"IAMS",,
18,1,"Friskies",,
16,2,"Catit Design Senses Play Circuit",,
15,3,"Yes",,
16,4,"Four-Five",,
24,4,"Four-Five",,
12,3,"No",,
18,2,"HEXBUG Mouse Cat Toy",,
22,1,"Others",,